BAM,HEADER,phase,duty,pos_counts,vel_rad_s  (V_BUS=12.0V COUNTS_PER_REV=1976 dt=10ms)
BAM,6640,stair,180,-1863,-5.088
BAM,6650,stair,180,-1880,-5.406
BAM,6660,stair,180,-1897,-5.406
BAM,6670,stair,180,-1913,-5.088
BAM,6680,stair,180,-1929,-5.088
BAM,6690,stair,180,-1946,-5.406
BAM,6700,stair,180,-1963,-5.406
BAM,6710,stair,180,-1979,-5.088
BAM,6720,stair,180,-1996,-5.406
BAM,6730,stair,180,-2013,-5.406
BAM,6740,stair,180,-2029,-5.088
BAM,6750,stair,180,-2046,-5.406
BAM,6760,stair,180,-2062,-5.088
BAM,6770,stair,180,-2079,-5.406
BAM,6780,stair,180,-2095,-5.088
BAM,6790,stair,180,-2112,-5.406
BAM,6800,stair,180,-2129,-5.406
BAM,6810,stair,180,-2145,-5.088
BAM,6820,stair,180,-2162,-5.406
BAM,6830,stair,180,-2179,-5.406
BAM,6840,stair,180,-2195,-5.088
BAM,6850,stair,180,-2212,-5.406
BAM,6860,stair,180,-2228,-5.088
BAM,6870,stair,180,-2245,-5.406
BAM,6880,stair,180,-2261,-5.088
BAM,6890,stair,180,-2278,-5.406
BAM,6900,stair,180,-2295,-5.406
BAM,6910,stair,180,-2311,-5.088
BAM,6920,stair,180,-2328,-5.406
BAM,6930,stair,180,-2345,-5.406
BAM,6940,stair,180,-2361,-5.088
BAM,6950,stair,180,-2378,-5.406
BAM,6960,stair,180,-2395,-5.406
BAM,6970,stair,180,-2411,-5.088
BAM,6980,stair,180,-2428,-5.406
BAM,6990,stair,180,-2445,-5.406
BAM,7000,stair,180,-2461,-5.088
BAM,7010,stair,180,-2477,-5.088
BAM,7020,stair,180,-2494,-5.406
BAM,7030,stair,180,-2511,-5.406
BAM,7040,stair,180,-2527,-5.088
BAM,7050,stair,180,-2544,-5.406
BAM,7060,stair,180,-2561,-5.406
BAM,7070,stair,180,-2577,-5.088
BAM,7080,stair,180,-2594,-5.406
BAM,7090,stair,180,-2611,-5.406
BAM,7100,stair,180,-2627,-5.088
BAM,7110,stair,180,-2644,-5.406
BAM,7120,stair,180,-2661,-5.406
BAM,7130,stair,180,-2677,-5.088
BAM,7140,stair,180,-2694,-5.406
BAM,7150,stair,180,-2711,-5.406
BAM,7160,stair,180,-2727,-5.088
BAM,7170,stair,180,-2744,-5.406
BAM,7180,stair,180,-2761,-5.406
BAM,7190,stair,180,-2777,-5.088
BAM,7200,stair,180,-2794,-5.406
BAM,7210,stair,180,-2811,-5.406
BAM,7220,stair,180,-2827,-5.088
BAM,7230,stair,180,-2843,-5.088
BAM,7240,stair,180,-2860,-5.406
BAM,7250,stair,180,-2877,-5.406
BAM,7260,stair,180,-2893,-5.088
BAM,7270,stair,180,-2910,-5.406
BAM,7280,stair,180,-2927,-5.406
BAM,7290,stair,180,-2943,-5.088
BAM,7300,stair,180,-2960,-5.406
BAM,7310,stair,180,-2977,-5.406
